sample,layer,channel,original_acc,pot_acc,original_output,pot_output,absolute_error
44,0,12,1854,1854,127,127,0
44,0,13,697,697,70,70,0
44,0,14,1160,1160,127,127,0
44,0,15,-642,-642,-17,-17,0
44,1,0,-747,-747,-40,-40,0
44,1,1,231,231,22,22,0
44,1,2,-676,-676,-35,-35,0
44,1,3,-400,-400,-18,-18,0
45,0,0,2836,2836,127,127,0
45,0,1,3987,3987,127,127,0
45,0,2,1148,1148,127,127,0
45,0,3,-1901,-1901,-17,-17,0
45,0,4,-2235,-2235,-17,-17,0
45,0,5,-3019,-3019,-17,-17,0
45,0,6,-1193,-1193,-17,-17,0
45,0,7,1338,1338,127,127,0
45,0,8,3584,3584,127,127,0
45,0,9,2830,2830,127,127,0
45,0,10,-9,-9,-17,-17,0
45,0,11,-643,-643,-17,-17,0
45,0,12,-2867,-2867,-17,-17,0
45,0,13,-4596,-4596,-17,-17,0
45,0,14,680,680,68,68,0
45,0,15,3121,3121,127,127,0
45,1,0,763,763,55,55,0
45,1,1,532,532,40,40,0
45,1,2,301,301,26,26,0
45,1,3,-1802,-1802,-106,-106,0
46,0,0,-878,-878,-17,-17,0
46,0,1,-3454,-3454,-17,-17,0
46,0,2,15,15,-15,-15,0
46,0,3,439,439,38,38,0
46,0,4,968,968,104,104,0
46,0,5,1107,1107,122,122,0
46,0,6,-509,-509,-17,-17,0
46,0,7,965,965,104,104,0
46,0,8,-1731,-1731,-17,-17,0
46,0,9,-1607,-1607,-17,-17,0
46,0,10,1937,1937,127,127,0
46,0,11,-279,-279,-17,-17,0
46,0,12,1390,1390,127,127,0
46,0,13,614,614,60,60,0
46,0,14,963,963,104,104,0
46,0,15,-593,-593,-17,-17,0
46,1,0,547,547,41,41,0
46,1,1,1590,1590,106,106,0
46,1,2,540,540,41,41,0
46,1,3,-1225,-1225,-70,-70,0
47,0,0,1283,1283,127,127,0
47,0,1,998,998,108,108,0
47,0,2,-757,-757,-17,-17,0
47,0,3,-202,-202,-17,-17,0
47,0,4,413,413,35,35,0
47,0,5,-847,-847,-17,-17,0
47,0,6,-772,-772,-17,-17,0
47,0,7,1133,1133,125,125,0
47,0,8,1583,1583,127,127,0
47,0,9,128,128,-1,-1,0
47,0,10,-697,-697,-17,-17,0
47,0,11,-1312,-1312,-17,-17,0
47,0,12,-1057,-1057,-17,-17,0
47,0,13,-517,-517,-17,-17,0
47,0,14,563,563,54,54,0
47,0,15,1568,1568,127,127,0
47,1,0,11,11,8,8,0
47,1,1,290,290,25,25,0
47,1,2,569,569,43,43,0
47,1,3,-1024,-1024,-57,-57,0
48,0,0,-1262,-1262,-17,-17,0
48,0,1,1073,1073,117,117,0
48,0,2,3,3,-16,-16,0
48,0,3,1108,1108,122,122,0
48,0,4,-607,-607,-17,-17,0
48,0,5,-657,-657,-17,-17,0
48,0,6,598,598,58,58,0
48,0,7,-97,-97,-17,-17,0
48,0,8,453,453,40,40,0
48,0,9,403,403,34,34,0
48,0,10,848,848,89,89,0
48,0,11,408,408,34,34,0
48,0,12,-1427,-1427,-17,-17,0
48,0,13,-2287,-2287,-17,-17,0
48,0,14,1383,1383,127,127,0
48,0,15,-977,-977,-17,-17,0
48,1,0,-231,-231,-7,-7,0
48,1,1,-1664,-1664,-97,-97,0
48,1,2,-549,-549,-27,-27,0
48,1,3,-344,-344,-15,-15,0
49,0,0,2031,2031,127,127,0
49,0,1,-187,-187,-17,-17,0
49,0,2,175,175,5,5,0
49,0,3,-963,-963,-17,-17,0
49,0,4,-331,-331,-17,-17,0
49,0,5,-2009,-2009,-17,-17,0
49,0,6,-447,-447,-17,-17,0
49,0,7,770,770,79,79,0
49,0,8,1207,1207,127,127,0
49,0,9,-846,-846,-17,-17,0
49,0,10,1061,1061,116,116,0
49,0,11,-272,-272,-17,-17,0
49,0,12,-750,-750,-17,-17,0
49,0,13,-613,-613,-17,-17,0
49,0,14,1114,1114,122,122,0
49,0,15,2316,2316,127,127,0
49,1,0,615,615,46,46,0
49,1,1,926,926,65,65,0
49,1,2,1237,1237,84,84,0
49,1,3,-324,-324,-13,-13,0
50,0,0,-1108,-1108,-17,-17,0
50,0,1,-1502,-1502,-17,-17,0
50,0,2,1509,1509,127,127,0
50,0,3,-85,-85,-17,-17,0
50,0,4,736,736,75,75,0
50,0,5,1467,1467,127,127,0
50,0,6,-1042,-1042,-17,-17,0
50,0,7,-1991,-1991,-17,-17,0
50,0,8,-1830,-1830,-17,-17,0
50,0,9,491,491,45,45,0
50,0,10,1462,1462,127,127,0
50,0,11,-42,-42,-17,-17,0
50,0,12,1034,1034,112,112,0
50,0,13,880,880,93,93,0
50,0,14,-39,-39,-17,-17,0
50,0,15,-823,-823,-17,-17,0
50,1,0,702,702,51,51,0
50,1,1,2437,2437,127,127,0
50,1,2,870,870,61,61,0
50,1,3,-697,-697,-37,-37,0
51,0,0,-2282,-2282,-17,-17,0
51,0,1,96,96,-5,-5,0
51,0,2,-196,-196,-17,-17,0
51,0,3,787,787,82,82,0
51,0,4,-570,-570,-17,-17,0
51,0,5,1613,1613,127,127,0
51,0,6,796,796,83,83,0
51,0,7,-876,-876,-17,-17,0
51,0,8,-508,-508,-17,-17,0
51,0,9,1465,1465,127,127,0
51,0,10,-1137,-1137,-17,-17,0
51,0,11,-229,-229,-17,-17,0
51,0,12,214,214,10,10,0
51,0,13,252,252,15,15,0
51,0,14,515,515,48,48,0
51,0,15,-1997,-1997,-17,-17,0
51,1,0,-1297,-1297,-74,-74,0
51,1,1,-172,-172,-4,-4,0
51,1,2,-48,-48,4,4,0
51,1,3,89,89,13,13,0
52,0,0,-1757,-1757,-17,-17,0
52,0,1,-1162,-1162,-17,-17,0
52,0,2,-1017,-1017,-17,-17,0
52,0,3,-287,-287,-17,-17,0
52,0,4,3338,3338,127,127,0
52,0,5,1563,1563,127,127,0
52,0,6,-527,-527,-17,-17,0
52,0,7,-1792,-1792,-17,-17,0
52,0,8,-897,-897,-17,-17,0
52,0,9,-602,-602,-17,-17,0
52,0,10,-307,-307,-17,-17,0
52,0,11,1518,1518,127,127,0
52,0,12,1813,1813,127,127,0
52,0,13,773,773,80,80,0
52,0,14,-717,-717,-17,-17,0
52,0,15,-1472,-1472,-17,-17,0
52,1,0,-1018,-1018,-57,-57,0
52,1,1,852,852,60,60,0
52,1,2,-411,-411,-19,-19,0
52,1,3,198,198,19,19,0
53,0,0,365,365,29,29,0
53,0,1,453,453,40,40,0
53,0,2,496,496,45,45,0
53,0,3,254,254,15,15,0
53,0,4,-453,-453,-17,-17,0
53,0,5,-1025,-1025,-17,-17,0
53,0,6,368,368,29,29,0
53,0,7,2436,2436,127,127,0
53,0,8,-791,-791,-17,-17,0
53,0,9,-253,-253,-17,-17,0
53,0,10,195,195,8,8,0
53,0,11,-1622,-1622,-17,-17,0
53,0,12,-1249,-1249,-17,-17,0
53,0,13,-366,-366,-17,-17,0
53,0,14,1132,1132,125,125,0
53,0,15,650,650,64,64,0
53,1,0,968,968,68,68,0
53,1,1,379,379,31,31,0
53,1,2,-392,-392,-18,-18,0
53,1,3,-981,-981,-54,-54,0
54,0,0,-3616,-3616,-17,-17,0
54,0,1,-1123,-1123,-17,-17,0
54,0,2,140,140,1,1,0
54,0,3,923,923,99,99,0
54,0,4,611,611,60,60,0
54,0,5,3044,3044,127,127,0
54,0,6,-253,-253,-17,-17,0
54,0,7,-2095,-2095,-17,-17,0
54,0,8,-2917,-2917,-17,-17,0
54,0,9,-409,-409,-17,-17,0
54,0,10,1994,1994,127,127,0
54,0,11,1187,1187,127,127,0
54,0,12,1925,1925,127,127,0
54,0,13,1823,1823,127,127,0
54,0,14,-1294,-1294,-17,-17,0
54,0,15,-3331,-3331,-17,-17,0
54,1,0,-781,-781,-42,-42,0
54,1,1,1184,1184,81,81,0
54,1,2,913,913,64,64,0
54,1,3,1006,1006,70,70,0
55,0,0,-1903,-1903,-17,-17,0
55,0,1,-77,-77,-17,-17,0
55,0,2,1644,1644,127,127,0
55,0,3,-340,-340,-17,-17,0
55,0,4,1186,1186,127,127,0
55,0,5,282,282,18,18,0
55,0,6,-907,-907,-17,-17,0
55,0,7,-806,-806,-17,-17,0
55,0,8,-1665,-1665,-17,-17,0
55,0,9,1046,1046,114,114,0
55,0,10,847,847,89,89,0
55,0,11,63,63,-9,-9,0
55,0,12,1799,1799,127,127,0
55,0,13,-1415,-1415,-17,-17,0
55,0,14,186,186,6,6,0
55,0,15,-1618,-1618,-17,-17,0
55,1,0,1880,1880,125,125,0
55,1,1,948,948,66,66,0
55,1,2,-439,-439,-20,-20,0
55,1,3,-1722,-1722,-101,-101,0
56,0,0,-1380,-1380,-17,-17,0
56,0,1,249,249,14,14,0
56,0,2,1188,1188,127,127,0
56,0,3,-1488,-1488,-17,-17,0
56,0,4,441,441,38,38,0
56,0,5,-75,-75,-17,-17,0
56,0,6,1509,1509,127,127,0
56,0,7,-762,-762,-17,-17,0
56,0,8,-348,-348,-17,-17,0
56,0,9,-144,-144,-17,-17,0
56,0,10,105,105,-4,-4,0
56,0,11,129,129,-1,-1,0
56,0,12,-462,-462,-17,-17,0
56,0,13,342,342,26,26,0
56,0,14,636,636,63,63,0
56,0,15,-1095,-1095,-17,-17,0
56,1,0,416,416,33,33,0
56,1,1,6,6,7,7,0
56,1,2,-963,-963,-53,-53,0
56,1,3,148,148,16,16,0
57,0,0,1044,1044,114,114,0
57,0,1,-226,-226,-17,-17,0
57,0,2,844,844,89,89,0
57,0,3,1524,1524,127,127,0
57,0,4,104,104,-4,-4,0
57,0,5,-1436,-1436,-17,-17,0
57,0,6,-381,-381,-17,-17,0
57,0,7,1229,1229,127,127,0
57,0,8,214,214,10,10,0
57,0,9,534,534,50,50,0
57,0,10,224,224,11,11,0
57,0,11,-281,-281,-17,-17,0
57,0,12,-876,-876,-17,-17,0
57,0,13,-2266,-2266,-17,-17,0
57,0,14,-311,-311,-17,-17,0
57,0,15,1329,1329,127,127,0
57,1,0,791,791,57,57,0
57,1,1,969,969,68,68,0
57,1,2,1667,1667,111,111,0
57,1,3,142,142,16,16,0
58,0,0,2290,2290,127,127,0
58,0,1,-343,-343,-17,-17,0
58,0,2,-66,-66,-17,-17,0
58,0,3,-2234,-2234,-17,-17,0
58,0,4,-1237,-1237,-17,-17,0
58,0,5,-15,-15,-17,-17,0
58,0,6,-83,-83,-17,-17,0
58,0,7,1859,1859,127,127,0
58,0,8,411,411,35,35,0
58,0,9,-572,-572,-17,-17,0
58,0,10,-280,-280,-17,-17,0
58,0,11,-528,-528,-17,-17,0
58,0,12,-116,-116,-17,-17,0
58,0,13,356,356,28,28,0
58,0,14,498,498,45,45,0
58,0,15,2575,2575,127,127,0
58,1,0,42,42,10,10,0
58,1,1,1400,1400,95,95,0
58,1,2,977,977,68,68,0
58,1,3,-122,-122,-1,-1,0
59,0,0,-701,-701,-17,-17,0
59,0,1,0,0,-17,-17,0
59,0,2,206,206,9,9,0
59,0,3,-593,-593,-17,-17,0
59,0,4,-2127,-2127,-17,-17,0
59,0,5,-946,-946,-17,-17,0
59,0,6,715,715,73,73,0
59,0,7,1041,1041,113,113,0
59,0,8,1202,1202,127,127,0
59,0,9,1498,1498,127,127,0
59,0,10,1014,1014,110,110,0
59,0,11,-1360,-1360,-17,-17,0
59,0,12,-224,-224,-17,-17,0
59,0,13,-1233,-1233,-17,-17,0
59,0,14,1448,1448,127,127,0
59,0,15,-416,-416,-17,-17,0
59,1,0,789,789,56,56,0
59,1,1,-738,-738,-39,-39,0
59,1,2,-393,-393,-18,-18,0
59,1,3,-750,-750,-40,-40,0
60,0,0,366,366,29,29,0
60,0,1,-230,-230,-17,-17,0
60,0,2,749,749,77,77,0
60,0,3,-297,-297,-17,-17,0
60,0,4,-1043,-1043,-17,-17,0
60,0,5,221,221,11,11,0
60,0,6,600,600,58,58,0
60,0,7,394,394,32,32,0
60,0,8,-172,-172,-17,-17,0
60,0,9,912,912,97,97,0
60,0,10,-479,-479,-17,-17,0
60,0,11,-1075,-1075,-17,-17,0
60,0,12,-801,-801,-17,-17,0
60,0,13,718,718,73,73,0
60,0,14,77,77,-7,-7,0
60,0,15,651,651,65,65,0
60,1,0,166,166,17,17,0
60,1,1,1205,1205,82,82,0
60,1,2,112,112,14,14,0
60,1,3,-6,-6,7,7,0
61,0,0,-1713,-1713,-17,-17,0
61,0,1,677,677,68,68,0
61,0,2,2392,2392,127,127,0
61,0,3,1317,1317,127,127,0
61,0,4,-223,-223,-17,-17,0
61,0,5,-2123,-2123,-17,-17,0
61,0,6,432,432,37,37,0
61,0,7,-283,-283,-17,-17,0
61,0,8,-788,-788,-17,-17,0
61,0,9,702,702,71,71,0
61,0,10,1412,1412,127,127,0
61,0,11,-38,-38,-17,-17,0
61,0,12,-858,-858,-17,-17,0
61,0,13,-403,-403,-17,-17,0
61,0,14,-563,-563,-17,-17,0
61,0,15,-1428,-1428,-17,-17,0
61,1,0,1085,1085,75,75,0
61,1,1,-150,-150,-2,-2,0
61,1,2,487,487,38,38,0
61,1,3,-46,-46,4,4,0
62,0,0,-648,-648,-17,-17,0
62,0,1,-251,-251,-17,-17,0
62,0,2,-529,-529,-17,-17,0
62,0,3,-1032,-1032,-17,-17,0
62,0,4,-440,-440,-17,-17,0
62,0,5,887,887,94,94,0
62,0,6,-711,-711,-17,-17,0
62,0,7,931,931,100,100,0
62,0,8,563,563,54,54,0
62,0,9,240,240,13,13,0
62,0,10,-1103,-1103,-17,-17,0
62,0,11,209,209,9,9,0
62,0,12,966,966,104,104,0
62,0,13,553,553,52,52,0
62,0,14,305,305,21,21,0
62,0,15,-363,-363,-17,-17,0
62,1,0,-587,-587,-30,-30,0
62,1,1,670,670,49,49,0
62,1,2,510,510,39,39,0
62,1,3,-235,-235,-8,-8,0
63,0,0,-434,-434,-17,-17,0
63,0,1,22,22,-14,-14,0
63,0,2,703,703,71,71,0
63,0,3,1549,1549,127,127,0
63,0,4,1405,1405,127,127,0
63,0,5,-734,-734,-17,-17,0
63,0,6,-1328,-1328,-17,-17,0
63,0,7,-512,-512,-17,-17,0
63,0,8,-1286,-1286,-17,-17,0
63,0,9,-125,-125,-17,-17,0
63,0,10,376,376,30,30,0
63,0,11,2602,2602,127,127,0
63,0,12,-107,-107,-17,-17,0
63,0,13,-1391,-1391,-17,-17,0
63,0,14,-800,-800,-17,-17,0
63,0,15,-149,-149,-17,-17,0
63,1,0,189,189,19,19,0
63,1,1,-868,-868,-47,-47,0
63,1,2,-53,-53,4,4,0
63,1,3,762,762,55,55,0
64,0,0,410,410,34,34,0
64,0,1,-389,-389,-17,-17,0
64,0,2,57,57,-10,-10,0
64,0,3,1043,1043,114,114,0
64,0,4,769,769,79,79,0
64,0,5,-1140,-1140,-17,-17,0
64,0,6,-349,-349,-17,-17,0
64,0,7,-98,-98,-17,-17,0
64,0,8,1143,1143,126,126,0
64,0,9,314,314,22,22,0
64,0,10,235,235,13,13,0
64,0,11,1341,1341,127,127,0
64,0,12,107,107,-3,-3,0
64,0,13,-2147,-2147,-17,-17,0
64,0,14,-1356,-1356,-17,-17,0
64,0,15,695,695,70,70,0
64,1,0,-686,-686,-36,-36,0
64,1,1,-1424,-1424,-82,-82,0
64,1,2,737,737,53,53,0
64,1,3,1208,1208,83,83,0
65,0,0,-790,-790,-17,-17,0
65,0,1,71,71,-8,-8,0
65,0,2,-223,-223,-17,-17,0
65,0,3,-742,-742,-17,-17,0
65,0,4,869,869,92,92,0
65,0,5,425,425,36,36,0
65,0,6,-274,-274,-17,-17,0
65,0,7,242,242,13,13,0
65,0,8,428,428,37,37,0
65,0,9,374,374,30,30,0
65,0,10,-805,-805,-17,-17,0
65,0,11,1286,1286,127,127,0
65,0,12,452,452,40,40,0
65,0,13,128,128,-1,-1,0
65,0,14,-1501,-1501,-17,-17,0
65,0,15,-505,-505,-17,-17,0
65,1,0,-447,-447,-21,-21,0
65,1,1,-505,-505,-25,-25,0
65,1,2,-758,-758,-40,-40,0
65,1,3,159,159,17,17,0
66,0,0,2618,2618,127,127,0
66,0,1,2705,2705,127,127,0
66,0,2,-43,-43,-17,-17,0
66,0,3,-2101,-2101,-17,-17,0
66,0,4,-3124,-3124,-17,-17,0
66,0,5,-907,-907,-17,-17,0
66,0,6,-715,-715,-17,-17,0
66,0,7,1907,1907,127,127,0
66,0,8,3179,3179,127,127,0
66,0,9,1661,1661,127,127,0
66,0,10,-1177,-1177,-17,-17,0
66,0,11,-3055,-3055,-17,-17,0
66,0,12,-1543,-1543,-17,-17,0
66,0,13,-421,-421,-17,-17,0
66,0,14,956,956,103,103,0
66,0,15,2903,2903,127,127,0
66,1,0,43,43,10,10,0
66,1,1,30,30,9,9,0
66,1,2,17,17,8,8,0
66,1,3,-1868,-1868,-110,-110,0
67,0,0,826,826,86,86,0
67,0,1,-667,-667,-17,-17,0
67,0,2,-750,-750,-17,-17,0
67,0,3,-848,-848,-17,-17,0
67,0,4,-2626,-2626,-17,-17,0
67,0,5,-609,-609,-17,-17,0
67,0,6,3148,3148,127,127,0
67,0,7,1760,1760,127,127,0
67,0,8,777,777,80,80,0
67,0,9,-596,-596,-17,-17,0
67,0,10,-1324,-1324,-17,-17,0
67,0,11,-1857,-1857,-17,-17,0
67,0,12,-590,-590,-17,-17,0
67,0,13,1262,1262,127,127,0
67,0,14,2034,2034,127,127,0
67,0,15,1111,1111,122,122,0
67,1,0,-597,-597,-30,-30,0
67,1,1,867,867,61,61,0
67,1,2,381,381,31,31,0
67,1,3,506,506,39,39,0
68,0,0,-1276,-1276,-17,-17,0
68,0,1,1333,1333,127,127,0
68,0,2,-993,-993,-17,-17,0
68,0,3,-889,-889,-17,-17,0
68,0,4,745,745,76,76,0
68,0,5,-321,-321,-17,-17,0
68,0,6,38,38,-12,-12,0
68,0,7,487,487,44,44,0
68,0,8,66,66,-9,-9,0
68,0,9,-310,-310,-17,-17,0
68,0,10,349,349,27,27,0
68,0,11,-402,-402,-17,-17,0
68,0,12,-13,-13,-17,-17,0
68,0,13,1,1,-17,-17,0
68,0,14,1125,1125,124,124,0
68,0,15,-991,-991,-17,-17,0
68,1,0,556,556,42,42,0
68,1,1,-353,-353,-15,-15,0
68,1,2,-1158,-1158,-65,-65,0
68,1,3,-2002,-2002,-118,-118,0
69,0,0,-391,-391,-17,-17,0
69,0,1,296,296,20,20,0
69,0,2,1058,1058,115,115,0
69,0,3,2555,2555,127,127,0
69,0,4,422,422,36,36,0
69,0,5,-691,-691,-17,-17,0
69,0,6,-454,-454,-17,-17,0
69,0,7,-1942,-1942,-17,-17,0
69,0,8,-1240,-1240,-17,-17,0
69,0,9,287,287,19,19,0
69,0,10,1589,1589,127,127,0
69,0,11,1901,1901,127,127,0
69,0,12,-142,-142,-17,-17,0
69,0,13,-1615,-1615,-17,-17,0
69,0,14,-1693,-1693,-17,-17,0
69,0,15,-106,-106,-17,-17,0
69,1,0,845,845,60,60,0
69,1,1,-452,-452,-21,-21,0
69,1,2,123,123,15,15,0
69,1,3,698,698,51,51,0
70,0,0,-1087,-1087,-17,-17,0
70,0,1,-1333,-1333,-17,-17,0
70,0,2,-439,-439,-17,-17,0
70,0,3,-1510,-1510,-17,-17,0
70,0,4,-61,-61,-17,-17,0
70,0,5,-937,-937,-17,-17,0
70,0,6,1442,1442,127,127,0
70,0,7,701,701,71,71,0
70,0,8,-610,-610,-17,-17,0
70,0,9,-61,-61,-17,-17,0
70,0,10,-817,-817,-17,-17,0
70,0,11,137,137,0,0,0
70,0,12,1256,1256,127,127,0
70,0,13,545,545,51,51,0
70,0,14,2714,2714,127,127,0
70,0,15,-802,-802,-17,-17,0
70,1,0,165,165,17,17,0
70,1,1,-78,-78,2,2,0
70,1,2,-1205,-1205,-68,-68,0
70,1,3,-239,-239,-8,-8,0
71,0,0,1704,1704,127,127,0
71,0,1,1376,1376,127,127,0
71,0,2,-977,-977,-17,-17,0
71,0,3,-1350,-1350,-17,-17,0
71,0,4,-148,-148,-17,-17,0
71,0,5,-1001,-1001,-17,-17,0
71,0,6,81,81,-7,-7,0
71,0,7,563,563,54,54,0
71,0,8,2635,2635,127,127,0
71,0,9,447,447,39,39,0
71,0,10,-406,-406,-17,-17,0
71,0,11,-884,-884,-17,-17,0
71,0,12,-1527,-1527,-17,-17,0
71,0,13,-1795,-1795,-17,-17,0
71,0,14,1222,1222,127,127,0
71,0,15,1989,1989,127,127,0
71,1,0,-347,-347,-15,-15,0
71,1,1,-106,-106,0,0,0
71,1,2,135,135,16,16,0
71,1,3,-1366,-1366,-78,-78,0
72,0,0,1204,1204,127,127,0
72,0,1,2096,2096,127,127,0
72,0,2,48,48,-11,-11,0
72,0,3,-965,-965,-17,-17,0
72,0,4,-2458,-2458,-17,-17,0
72,0,5,369,369,29,29,0
72,0,6,-809,-809,-17,-17,0
72,0,7,1478,1478,127,127,0
72,0,8,2925,2925,127,127,0
72,0,9,757,757,78,78,0
72,0,10,-1681,-1681,-17,-17,0
72,0,11,-2319,-2319,-17,-17,0
72,0,12,-1022,-1022,-17,-17,0
72,0,13,-370,-370,-17,-17,0
72,0,14,687,687,69,69,0
72,0,15,1489,1489,127,127,0
72,1,0,-252,-252,-9,-9,0
72,1,1,395,395,32,32,0
72,1,2,444,444,35,35,0
72,1,3,-1379,-1379,-79,-79,0
73,0,0,195,195,8,8,0
73,0,1,1098,1098,120,120,0
73,0,2,1146,1146,126,126,0
73,0,3,-126,-126,-17,-17,0
73,0,4,-1188,-1188,-17,-17,0
73,0,5,-405,-405,-17,-17,0
73,0,6,-2052,-2052,-17,-17,0
73,0,7,-969,-969,-17,-17,0
73,0,8,984,984,106,106,0
73,0,9,-393,-393,-17,-17,0
73,0,10,1785,1785,127,127,0
73,0,11,-567,-567,-17,-17,0
73,0,12,711,711,72,72,0
73,0,13,264,264,16,16,0
73,0,14,-543,-543,-17,-17,0
73,0,15,480,480,43,43,0
73,1,0,1263,1263,86,86,0
73,1,1,592,592,44,44,0
73,1,2,766,766,55,55,0
73,1,3,-659,-659,-34,-34,0
74,0,0,-1583,-1583,-17,-17,0
74,0,1,377,377,30,30,0
74,0,2,1092,1092,120,120,0
74,0,3,877,877,93,93,0
74,0,4,1007,1007,109,109,0
74,0,5,1122,1122,123,123,0
74,0,6,-2918,-2918,-17,-17,0
74,0,7,-2668,-2668,-17,-17,0
74,0,8,-1518,-1518,-17,-17,0
74,0,9,2467,2467,127,127,0
74,0,10,2042,2042,127,127,0
74,0,11,117,117,-2,-2,0
74,0,12,982,982,106,106,0
74,0,13,-88,-88,-17,-17,0
74,0,14,-1368,-1368,-17,-17,0
74,0,15,-1298,-1298,-17,-17,0
74,1,0,1013,1013,70,70,0
74,1,1,944,944,66,66,0
74,1,2,485,485,37,37,0
74,1,3,-1209,-1209,-69,-69,0
75,0,0,1158,1158,127,127,0
75,0,1,394,394,32,32,0
75,0,2,1865,1865,127,127,0
75,0,3,-1059,-1059,-17,-17,0
75,0,4,-2663,-2663,-17,-17,0
75,0,5,-1447,-1447,-17,-17,0
75,0,6,849,849,89,89,0
75,0,7,3145,3145,127,127,0
75,0,8,836,836,88,88,0
75,0,9,1047,1047,114,114,0
75,0,10,58,58,-10,-10,0
75,0,11,-2791,-2791,-17,-17,0
75,0,12,-2985,-2985,-17,-17,0
75,0,13,-419,-419,-17,-17,0
75,0,14,1952,1952,127,127,0
75,0,15,1443,1443,127,127,0
75,1,0,842,842,60,60,0
75,1,1,561,561,42,42,0
75,1,2,-227,-227,-7,-7,0
75,1,3,-1002,-1002,-56,-56,0
76,0,0,-225,-225,-17,-17,0
76,0,1,-1194,-1194,-17,-17,0
76,0,2,-438,-438,-17,-17,0
76,0,3,-507,-507,-17,-17,0
76,0,4,-1386,-1386,-17,-17,0
76,0,5,-975,-975,-17,-17,0
76,0,6,2646,2646,127,127,0
76,0,7,1197,1197,127,127,0
76,0,8,168,168,4,4,0
76,0,9,-606,-606,-17,-17,0
76,0,10,-1530,-1530,-17,-17,0
76,0,11,-189,-189,-17,-17,0
76,0,12,-393,-393,-17,-17,0
76,0,13,663,663,66,66,0
76,0,14,2709,2709,127,127,0
76,0,15,60,60,-9,-9,0
76,1,0,-128,-128,-1,-1,0
76,1,1,-54,-54,4,4,0
76,1,2,-786,-786,-42,-42,0
76,1,3,81,81,12,12,0
77,0,0,746,746,76,76,0
77,0,1,648,648,64,64,0
77,0,2,1735,1735,127,127,0
77,0,3,1037,1037,113,113,0
77,0,4,-1371,-1371,-17,-17,0
77,0,5,-3299,-3299,-17,-17,0
77,0,6,-832,-832,-17,-17,0
77,0,7,915,915,98,98,0
77,0,8,1642,1642,127,127,0
77,0,9,2114,2114,127,127,0
77,0,10,1956,1956,127,127,0
77,0,11,-947,-947,-17,-17,0
77,0,12,-1840,-1840,-17,-17,0
77,0,13,-2223,-2223,-17,-17,0
77,0,14,-341,-341,-17,-17,0
77,0,15,1031,1031,112,112,0
77,1,0,1301,1301,88,88,0
77,1,1,345,345,29,29,0
77,1,2,1742,1742,116,116,0
77,1,3,-423,-423,-19,-19,0
78,0,0,1392,1392,127,127,0
78,0,1,-162,-162,-17,-17,0
78,0,2,-1476,-1476,-17,-17,0
78,0,3,-2805,-2805,-17,-17,0
78,0,4,-1659,-1659,-17,-17,0
78,0,5,-1323,-1323,-17,-17,0
78,0,6,3123,3123,127,127,0
78,0,7,3339,3339,127,127,0
78,0,8,1965,1965,127,127,0
78,0,9,-1449,-1449,-17,-17,0
78,0,10,-2103,-2103,-17,-17,0
78,0,11,-1227,-1227,-17,-17,0
78,0,12,-1221,-1221,-17,-17,0
78,0,13,-30,-30,-17,-17,0
78,0,14,3576,3576,127,127,0
78,0,15,1677,1677,127,127,0
78,1,0,-245,-245,-8,-8,0
78,1,1,-18,-18,6,6,0
78,1,2,209,209,20,20,0
78,1,3,436,436,34,34,0
79,0,0,-851,-851,-17,-17,0
79,0,1,-1317,-1317,-17,-17,0
79,0,2,-943,-943,-17,-17,0
79,0,3,2191,2191,127,127,0
79,0,4,1005,1005,109,109,0
79,0,5,584,584,56,56,0
79,0,6,-1802,-1802,-17,-17,0
79,0,7,192,192,7,7,0
79,0,8,-1204,-1204,-17,-17,0
79,0,9,-2240,-2240,-17,-17,0
79,0,10,519,519,48,48,0
79,0,11,2168,2168,127,127,0
79,0,12,1672,1672,127,127,0
79,0,13,1086,1086,119,119,0
79,0,14,-1120,-1120,-17,-17,0
79,0,15,-566,-566,-17,-17,0
79,1,0,-769,-769,-41,-41,0
79,1,1,319,319,27,27,0
79,1,2,562,562,42,42,0
79,1,3,805,805,57,57,0
80,0,0,-83,-83,-17,-17,0
80,0,1,183,183,6,6,0
80,0,2,59,59,-9,-9,0
80,0,3,1015,1015,110,110,0
80,0,4,486,486,44,44,0
80,0,5,-1303,-1303,-17,-17,0
80,0,6,208,208,9,9,0
80,0,7,1389,1389,127,127,0
80,0,8,-1360,-1360,-17,-17,0
80,0,9,-1289,-1289,-17,-17,0
80,0,10,1602,1602,127,127,0
80,0,11,-202,-202,-17,-17,0
80,0,12,-236,-236,-17,-17,0
80,0,13,-585,-585,-17,-17,0
80,0,14,56,56,-10,-10,0
80,0,15,202,202,8,8,0
80,1,0,1219,1219,83,83,0
80,1,1,172,172,18,18,0
80,1,2,776,776,56,56,0
80,1,3,67,67,11,11,0
81,0,0,-135,-135,-17,-17,0
81,0,1,-1334,-1334,-17,-17,0
81,0,2,782,782,81,81,0
81,0,3,-1317,-1317,-17,-17,0
81,0,4,-251,-251,-17,-17,0
81,0,5,1355,1355,127,127,0
81,0,6,546,546,51,51,0
81,0,7,352,352,27,27,0
81,0,8,-217,-217,-17,-17,0
81,0,9,594,594,57,57,0
81,0,10,-875,-875,-17,-17,0
81,0,11,-529,-529,-17,-17,0
81,0,12,1032,1032,112,112,0
81,0,13,673,673,67,67,0
